rgi_id,region,hydro_year,calendar_year,dmdt,dhdt
RGI60-06.00238,06,2003,2003,-0.10040115565061569,-0.7059924006462097
RGI60-06.00238,06,2004,2004,-0.14264409244060516,-1.0032103061676025
RGI60-06.00238,06,2005,2005,-0.1182311400771141,-0.8316097259521484
RGI60-06.00238,06,2006,2006,-0.07294104248285294,-0.5130974054336548
RGI60-06.00238,06,2007,2007,-0.15333327651023865,-1.0788027048110962
RGI60-06.00238,06,2008,2008,-0.025960644707083702,-0.18266049027442932
RGI60-06.00238,06,2009,2009,-0.2384398877620697,-1.6780575513839722
RGI60-06.00238,06,2010,2010,-0.006908018607646227,-0.04861830919981003
RGI60-06.00238,06,2011,2011,-0.3144092261791229,-2.2135074138641357
RGI60-06.00238,06,2012,2012,0.1511794924736023,1.0641226768493652
RGI60-06.00238,06,2013,2013,0.047051701694726944,0.3311663866043091
RGI60-06.00238,06,2014,2014,0.05285662040114403,0.3720066249370575
RGI60-06.00238,06,2015,2015,-0.1568250209093094,-1.1039137840270996
RGI60-06.00238,06,2016,2016,-0.007631536107510328,-0.05372723937034607
RGI60-06.00238,06,2017,2017,-0.21053728461265564,-1.4823366403579712
RGI60-06.00238,06,2018,2018,-0.1913042962551117,-1.347220778465271
RGI60-06.00238,06,2019,2019,-0.0512942411005497,-0.3612467348575592
RGI60-06.00238,06,2020,2020,-0.2657657861709595,-1.8722739219665527
RGI60-06.00238,06,2021,2021,-0.27263185381889343,-1.9212514162063599
RGI60-06.00238,06,2022,2022,-0.3870713412761688,-2.728959798812866
RGI60-06.00238,06,2023,2023,-0.19965516030788422,-1.4079506397247314
RGI60-06.00238,06,2024,2024,-0.19588658213615417,-1.3816792964935303
RGI60-06.00238,06,2025,2025,-0.12854284048080444,-0.9068110585212708
RGI60-06.00238,06,2026,2026,-0.0010380902094766498,-0.007404195610433817
RGI60-06.00238,06,2027,2027,-0.1682230532169342,-1.2005072832107544
RGI60-06.00238,06,2028,2028,-0.13921524584293365,-0.9936496019363403
RGI60-06.00238,06,2029,2029,-0.13639667630195618,-0.9736784100532532
RGI60-06.00238,06,2030,2030,-0.21277284622192383,-1.519250750541687
RGI60-06.00238,06,2031,2031,-0.35970351099967957,-2.569406509399414
RGI60-06.00238,06,2032,2032,-0.3330780565738678,-2.3801209926605225
RGI60-06.00238,06,2033,2033,-0.24215394258499146,-1.7308752536773682
RGI60-06.00238,06,2034,2034,-0.1419771909713745,-1.0149579048156738
RGI60-06.00238,06,2035,2035,-0.14094328880310059,-1.0077368021011353
RGI60-06.00238,06,2036,2036,-0.16548626124858856,-1.1834182739257812
RGI60-06.00238,06,2037,2037,-0.1503196656703949,-1.0751270055770874
RGI60-06.00238,06,2038,2038,-0.24739472568035126,-1.7699517011642456
RGI60-06.00238,06,2039,2039,-0.14596597850322723,-1.044439435005188
RGI60-06.00238,06,2040,2040,-0.3577468693256378,-2.560866355895996
RGI60-06.00238,06,2041,2041,-0.4205964207649231,-3.012221336364746
RGI60-06.00238,06,2042,2042,-0.29751667380332947,-2.131420373916626
RGI60-06.00238,06,2043,2043,-0.258197158575058,-1.8502639532089233
RGI60-06.00238,06,2044,2044,-0.37523922324180603,-2.6901285648345947
RGI60-06.00238,06,2045,2045,-0.3017570972442627,-2.1640501022338867
RGI60-06.00238,06,2046,2046,-0.43239080905914307,-3.102431058883667
RGI60-06.00238,06,2047,2047,-0.3659215569496155,-2.6265499591827393
RGI60-06.00238,06,2048,2048,-0.5364640951156616,-3.8530499935150146
RGI60-06.00238,06,2049,2049,-0.5199720859527588,-3.736806631088257
RGI60-06.00238,06,2050,2050,-0.4600333571434021,-3.3077945709228516
RGI60-06.00238,06,2051,2051,-0.558509349822998,-4.018431663513184
RGI60-06.00238,06,2052,2052,-0.43268439173698425,-3.1146249771118164
RGI60-06.00238,06,2053,2053,-0.5153363347053528,-3.779144287109375
RGI60-06.00238,06,2054,2054,-0.5217976570129395,-3.9270105361938477
RGI60-06.00238,06,2055,2055,-0.3755642771720886,-2.82767915725708
RGI60-06.00238,06,2056,2056,-0.3794618248939514,-2.8582205772399902
RGI60-06.00238,06,2057,2057,-0.4818940758705139,-3.7744503021240234
RGI60-06.00238,06,2058,2058,-0.23173005878925323,-1.8154832124710083
RGI60-06.00238,06,2059,2059,-0.335606187582016,-2.630319595336914
RGI60-06.00238,06,2060,2060,-0.3677314221858978,-2.8833398818969727
RGI60-06.00238,06,2061,2061,-0.4158684015274048,-3.2623820304870605
RGI60-06.00238,06,2062,2062,-0.35622328519821167,-2.7955944538116455
RGI60-06.00238,06,2063,2063,-0.351283460855484,-2.7579452991485596
RGI60-06.00238,06,2064,2064,-0.58079993724823,-4.563007831573486
RGI60-06.00238,06,2065,2065,-0.43370676040649414,-3.538297414779663
RGI60-06.00238,06,2066,2066,-0.35168716311454773,-2.8703505992889404
RGI60-06.00238,06,2067,2067,-0.31435784697532654,-2.682143211364746
RGI60-06.00238,06,2068,2068,-0.36899179220199585,-3.1497879028320312
RGI60-06.00238,06,2069,2069,-0.30390772223472595,-2.7268526554107666
RGI60-06.00238,06,2070,2070,-0.24959778785705566,-2.2402617931365967
RGI60-06.00238,06,2071,2071,-0.40264269709587097,-3.8166964054107666
RGI60-06.00238,06,2072,2072,-0.3020716905593872,-3.031803607940674
RGI60-06.00238,06,2073,2073,-0.16545690596103668,-1.6610335111618042
RGI60-06.00238,06,2074,2074,-0.20703084766864777,-2.0790493488311768
RGI60-06.00238,06,2075,2075,-0.1707291454076767,-1.7149379253387451
RGI60-06.00238,06,2076,2076,-0.19571252167224884,-1.9664777517318726
RGI60-06.00238,06,2077,2077,-0.2354755699634552,-2.5111846923828125
RGI60-06.00238,06,2078,2078,-0.2087043672800064,-2.226482391357422
RGI60-06.00238,06,2079,2079,-0.23797641694545746,-2.5397708415985107
RGI60-06.00238,06,2080,2080,-0.17754541337490082,-1.8953919410705566
RGI60-06.00238,06,2081,2081,-0.21545353531837463,-2.3009164333343506
RGI60-06.00238,06,2082,2082,-0.17674273252487183,-1.8880666494369507
RGI60-06.00238,06,2083,2083,-0.28559908270835876,-3.2467997074127197
RGI60-06.00238,06,2084,2084,-0.2015404999256134,-2.292056083679199
RGI60-06.00238,06,2085,2085,-0.2546660900115967,-2.897639751434326
RGI60-06.00238,06,2086,2086,-0.2559144198894501,-2.9132916927337646
RGI60-06.00238,06,2087,2087,-0.24834631383419037,-2.828486204147339
RGI60-06.00238,06,2088,2088,-0.36512255668640137,-4.434255599975586
RGI60-06.00238,06,2089,2089,-0.16085155308246613,-1.9540777206420898
RGI60-06.00238,06,2090,2090,-0.18265250325202942,-2.2197320461273193
RGI60-06.00238,06,2091,2091,-0.1517939567565918,-1.972211480140686
RGI60-06.00238,06,2092,2092,-0.262144535779953,-3.4081320762634277
